phone_id	total	good	neutral	bad	url
3211226	0	0	0	0	http://item.m.jd.com/product/3211226.html
3311953	50668	48607	1238	823	http://item.m.jd.com/product/3311953.html
3141248	625194	597656	15381	12157	http://item.m.jd.com/product/3141248.html
2351657	545504	522412	12503	10589	http://item.m.jd.com/product/2351657.html
1514842	86759	82158	2249	2352	http://item.m.jd.com/product/1514842.html
3057077	34979	33259	966	754	http://item.m.jd.com/product/3057077.html
3553571	165584	158352	4221	3011	http://item.m.jd.com/product/3553571.html
2402692	127190	120552	3429	3209	http://item.m.jd.com/product/2402692.html
2788767	125988	121020	2625	2343	http://item.m.jd.com/product/2788767.html
2025574	102052	96328	3229	2495	http://item.m.jd.com/product/2025574.html
3322621	37346	36360	536	450	http://item.m.jd.com/product/3322621.html
3458001	11617	11386	113	118	http://item.m.jd.com/product/3458001.html
3888216	3419	3285	78	56	http://item.m.jd.com/product/3888216.html
1684485	414634	402778	7048	4808	http://item.m.jd.com/product/1684485.html
3458013	16	16	0	0	http://item.m.jd.com/product/3458013.html
3644482	167	162	1	4	http://item.m.jd.com/product/3644482.html
10541210582	39	36	2	1	http://item.m.jd.com/product/10541210582.html
10435654615	21	20	0	1	http://item.m.jd.com/product/10435654615.html
10767563143	3	2	1	0	http://item.m.jd.com/product/10767563143.html
10883563462	0	0	0	0	http://item.m.jd.com/product/10883563462.html
2203531	319261	312582	3929	2750	http://item.m.jd.com/product/2203531.html
1617039	442124	429126	8042	4956	http://item.m.jd.com/product/1617039.html
3133498	100599	98347	1447	805	http://item.m.jd.com/product/3133498.html
3367822	35319	34480	478	361	http://item.m.jd.com/product/3367822.html
2967927	179422	175742	1962	1718	http://item.m.jd.com/product/2967927.html
2249594	190443	181936	5016	3491	http://item.m.jd.com/product/2249594.html
2888228	181840	176630	2668	2542	http://item.m.jd.com/product/2888228.html
2035589	18074	17261	455	358	http://item.m.jd.com/product/2035589.html
2471202	21821	21020	451	350	http://item.m.jd.com/product/2471202.html
3169118	29243	28622	350	271	http://item.m.jd.com/product/3169118.html
3355143	6772	6596	93	83	http://item.m.jd.com/product/3355143.html
3234250	20825	20317	276	232	http://item.m.jd.com/product/3234250.html
2600210	24882	24305	330	247	http://item.m.jd.com/product/2600210.html
2878295	139741	136872	1632	1237	http://item.m.jd.com/product/2878295.html
2174898	58717	57638	602	477	http://item.m.jd.com/product/2174898.html
3385376	28274	26981	792	501	http://item.m.jd.com/product/3385376.html
1592291	21964	20847	719	398	http://item.m.jd.com/product/1592291.html
10532651102	5326	4969	182	175	http://item.m.jd.com/product/10532651102.html
2600240	39288	38527	411	350	http://item.m.jd.com/product/2600240.html
2145649	166634	161137	2732	2765	http://item.m.jd.com/product/2145649.html
3613997	9	9	0	0	http://item.m.jd.com/product/3613997.html
3211224	0	0	0	0	http://item.m.jd.com/product/3211224.html
2951267	0	0	0	0	http://item.m.jd.com/product/2951267.html
10824400190	11	11	0	0	http://item.m.jd.com/product/10824400190.html
1748005	60233	57927	1351	955	http://item.m.jd.com/product/1748005.html
3369078	34246	33829	238	179	http://item.m.jd.com/product/3369078.html
2962511	1057	1032	11	14	http://item.m.jd.com/product/2962511.html
2600254	12539	12236	170	133	http://item.m.jd.com/product/2600254.html
2896128	378	370	4	4	http://item.m.jd.com/product/2896128.html
1779676	150909	146968	2426	1515	http://item.m.jd.com/product/1779676.html
3344043	13687	13358	121	208	http://item.m.jd.com/product/3344043.html
3774250	16389	15153	745	491	http://item.m.jd.com/product/3774250.html
3344041	26488	25403	564	521	http://item.m.jd.com/product/3344041.html
3344021	5477	5255	102	120	http://item.m.jd.com/product/3344021.html
3774252	1512	1473	20	19	http://item.m.jd.com/product/3774252.html
